formula,C,H,N,O,S,molecular_weight,H.C,O.C,N.C,S.C,DBE,DBEO,DBEAI,DBEAImod,NOSC,Gibbs,AI,AImod,KDF_CH2,Y_met,classification,WZ0616E,WZ0714I,WZ0714E,WZ0728E,WZ0811E,WZ0825E,WZ0915E,BJ0613E,QQ0615E,QH0615E,JZ0617E,CS0617E,FS0617E,QQ0627E,QH0629E,JZ0701E,CS0701E,FS0702E,BJ0704E,QH0714E,QH0714I,JZ0715I,JZ0715E,CS0715I,CS0715E,FS0716I,FS0716E,QQ0718I,QQ0718E,BJ0718I,BJ0718E,QH0720E,JZ0729E,FS0729E,QQ0801E,BJ0801E,QH0803E,BJ0815E,QQ0815E,QH0817E,JZ0819E,FS0819E,CS0825E,CS0908E,QQ0913E,BJ0919E,CS0917E,JZ0916E,FS0916E
C49H55O8N,49,55,1,8,0,785.3928,1.122449,0.1632653,0.02040816,0,23,15,14,18,-0.7346939,81.23878,0.35,0.4090909,-0.4842076,0.03617319,lignin,0,7.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H56N2,49,56,2,0,0,672.4443,1.142857,0,0.04081633,0,23,23,21,21,-1.020408,89.38163,0.4468085,0.4468085,-0.3065094,0.034502,unsaturated hydrocarbons,0,0,0,0,5.53E-05,0,0,0,0,0.000172948,0,0,0,0,0,0,0,0,6.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000251246,0.000124459,8.74E-05,0,0,9.87E-05,0,0,0,0.000112321,0,0,0,6.75E-05,0,0
C49H56O2N2,49,56,2,2,0,704.4342,1.142857,0.04081633,0.04081633,0,23,21,19,20,-0.9387755,87.0551,0.4222222,0.4347826,-0.3523995,0.03497813,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000226109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H56O2N2S,49,56,2,2,1,736.4062,1.142857,0.04081633,0.04081633,0.02040816,23,21,18,19,-0.8979592,85.89184,0.4090909,0.4222222,-0.4160288,0.0342864,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H56O2S2,49,56,0,2,2,740.3722,1.142857,0.04081633,0,0.04081633,22,20,18,19,-0.9795918,88.21837,0.4,0.4130435,-0.4545342,0.03287496,unsaturated hydrocarbons,0,0.000178333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H56O3N2,49,56,2,3,0,720.4291,1.142857,0.06122449,0.04081633,0,23,20,18,19.5,-0.8979592,85.89184,0.4090909,0.4285714,-0.3753446,0.03522115,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H56O3S2,49,56,0,3,2,756.3671,1.142857,0.06122449,0,0.04081633,22,19,17,18.5,-0.9387755,87.0551,0.3863636,0.4065934,-0.4774792,0.03308955,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82E-05,0,8.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H56O4S2,49,56,0,4,2,772.362,1.142857,0.08163265,0,0.04081633,22,18,16,18,-0.8979592,85.89184,0.372093,0.4,-0.5004243,0.03330696,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148482,0,0,0,6.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H56O5S2,49,56,0,5,2,788.3569,1.142857,0.1020408,0,0.04081633,22,17,15,17.5,-0.8571429,84.72857,0.3571429,0.3932584,-0.5233694,0.03352724,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H56O7,49,56,0,7,0,756.4026,1.142857,0.1428571,0,0,22,15,15,18.5,-0.8571429,84.72857,0.3571429,0.4065934,-0.4420009,0.03536269,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H56O9,49,56,0,9,0,788.3924,1.142857,0.1836735,0,0,22,13,13,17.5,-0.7755102,82.40204,0.325,0.3932584,-0.487891,0.03586304,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H56ON2,49,56,2,1,0,688.4393,1.142857,0.02040816,0.04081633,0,23,22,20,20.5,-0.9795918,88.21837,0.4347826,0.4408602,-0.3294544,0.03473843,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,8.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121956,0,0,0,0,8.30E-05,0,0,0,7.02E-05,0,4.84E-05,0,0,0,0
C49H57O2NS2,49,57,1,2,2,755.3831,1.163265,0.04081633,0.02040816,0.04081633,22,20,17,18,-0.9387755,87.0551,0.3863636,0.4,-0.4603965,0.03313539,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178444,0,8.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H57O3NS2,49,57,1,3,2,771.378,1.163265,0.06122449,0.02040816,0.04081633,22,19,16,17.5,-0.8979592,85.89184,0.372093,0.3932584,-0.4833416,0.03335341,unsaturated hydrocarbons,0,0.00010928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115866,0,7.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H58N2,49,58,2,0,0,674.46,1.183673,0,0.04081633,0,22,22,20,20,-1.061224,90.5449,0.4255319,0.4255319,-0.2931101,0.03426877,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0.000145614,0,0,0,6.75E-05,0,0,0,0,0,0,0,0,0.000210504,0,0,0,0,0,0,0,0,0,0,0.000188724,9.33E-05,5.56E-05,0,0,9.68E-05,0,0,0,0.000108408,0,0,0,5.01E-05,0,0
C49H58O2N2,49,58,2,2,0,706.4498,1.183673,0.04081633,0.04081633,0,22,20,18,19,-0.9795918,88.21837,0.4,0.4130435,-0.3390002,0.03473843,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,5.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H58O2S2,49,58,0,2,2,742.3878,1.183673,0.04081633,0,0.04081633,21,19,17,18,-1.020408,89.38163,0.3777778,0.3913043,-0.4411349,0.03266314,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H58O3S2,49,58,0,3,2,758.3827,1.183673,0.06122449,0,0.04081633,21,18,16,17.5,-0.9795918,88.21837,0.3636364,0.3846154,-0.4640799,0.03287496,unsaturated hydrocarbons,0,0.000119767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29E-05,0,0,0,7.54E-05,0,0,0,0,0
C49H58O4S2,49,58,0,4,2,774.3777,1.183673,0.08163265,0,0.04081633,21,17,15,17,-0.9387755,87.0551,0.3488372,0.3777778,-0.487025,0.03308955,unsaturated hydrocarbons,0,0.000125146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44E-05,0,9.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63E-05,0,0,0,0,0
C49H58O6,49,58,0,6,0,742.4233,1.183673,0.122449,0,0,21,15,15,18,-0.9387755,87.0551,0.3488372,0.3913043,-0.4056565,0.03487611,lignin,0,8.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H58O7,49,58,0,7,0,758.4183,1.183673,0.1428571,0,0,21,14,14,17.5,-0.8979592,85.89184,0.3333333,0.3846154,-0.4286016,0.03511772,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H58O8,49,58,0,8,0,774.4132,1.183673,0.1632653,0,0,21,13,13,17,-0.8571429,84.72857,0.3170732,0.3777778,-0.4515467,0.03536269,lignin,0,5.48E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H58ON2,49,58,2,1,0,690.4549,1.183673,0.02040816,0.04081633,0,22,21,19,19.5,-1.020408,89.38163,0.4130435,0.4193548,-0.3160551,0.034502,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,6.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H58ON4S,49,58,4,1,1,750.4331,1.183673,0.02040816,0.08163265,0.02040816,23,22,17,17.5,-0.8571429,84.72857,0.3953488,0.4022989,-0.4048083,0.03461982,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58E-05,0,0,0,0,0,0,0,0
