	FS0916E	CS0908E	QQ0718E	CS0617E	JZ0701E	FS0702E	QH0615E	BJ0815E	BJ0613E	FS0617E	FS0716E	WZ0728E	QH0720E	BJ0718E	QQ0627E	QH0714E	CS0715E	FS0729E	JZ0729E	CS0701E	WZ0811E	WZ0825E	FS0819E	QQ0801E	BJ0704E	WZ0616E	JZ0715E	JZ0916E	JZ0617E	QH0803E	CS0825E	QH0817E	QQ0615E	WZ0714E	QQ0913E	QQ0815E	BJ0919E	JZ0819E	BJ0801E	WZ0915E	QH0629E	CS0917E
OTU_2695	0	0	0	0	9	1	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_1411	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_490	0	0	1	0	0	0	0	9	43	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	176	0	39	0	0	0
OTU_524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	9	1	0	2	0	0	0	0	3	0	0	0	0	0	1	0	0
OTU_501	12	4	3	1	0	10	1	0	3	10	8	1	0	0	3	5	1	11	5	0	4	6	3	11	0	0	2	13	0	1	3	0	2	6	8	6	0	1	0	0	3	5
OTU_3376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_389	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
OTU_456	3	3	5	0	0	2	0	3	46	0	3	0	0	7	6	0	4	1	0	0	1	0	0	10	8	0	1	8	0	0	2	0	4	1	19	6	38	0	62	0	3	12
OTU_323	0	3	0	3	5	0	0	0	0	0	0	1	0	0	0	0	1	0	5	2	3	0	0	0	0	23	2	0	3	0	1	0	0	3	0	0	0	0	0	8	0	1
OTU_2063	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0
OTU_1441	0	0	0	0	0	0	0	4	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0
OTU_549	0	0	0	0	0	0	0	29	20	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	33	0	70	0	0	0
OTU_136	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1555	2	0	0	7	2	0
OTU_1276	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
OTU_1388	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	1	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_345	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	52	0	0
OTU_2020	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU_2801	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	6	1	4	0	0	0	0	2	0	0	0	0	0	2	0	0
OTU_3045	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0
OTU_2219	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0
OTU_2053	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	11	0	0
OTU_1854	0	0	0	0	1	2	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
OTU_2266	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
OTU_299	0	5	24	23	0	0	17	0	0	0	0	0	33	0	34	31	24	0	4	15	0	0	0	29	0	0	4	10	0	20	1	11	10	0	52	76	0	11	0	0	22	11
OTU_1582	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_813	0	1	0	0	0	0	0	0	27	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	26	0	35	0	0	7
OTU_843	0	0	7	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	1	7	1	2	0	0	0	1	0	1	0	0	1	0	1	0	0
OTU_1284	0	0	1	7	0	0	1	0	0	0	0	0	0	0	1	0	7	0	0	1	0	0	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	8
OTU_314	9	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7	0	8	6	49	1	0	0	0	0	5	11	0	0	0	13	1	30	3	12	67	0	0	0	6	0	0	0	4	0	0	37	5	0	0	4	10	1	8	0	0	0	13
OTU_796	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	2	0	2	0	0
