ZOTU_ID	D00R01	D00R02	D00R03	D00R04	D00R05	D00R06	D03R01	D03R02	D03R03	D03R04	D03R05	D03R06	D06R01	D06R02	D06R03	D06R04	D06R05	D06R06	D09R01	D09R02	D09R03	D09R04	D09R05	D09R06	D12R01	D12R02	D12R03	D12R04	D12R05	D12R06	D24R01	D24R02	D24R03	D24R04	D24R05	D24R06	D48R01	D48R02	D48R03	D48R04	D48R05	D48R06	D96R01	D96R02	D96R03	D96R04	D96R05	D96R06
ZOTU_6603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5	0	1	0	1	0	29	0	10
ZOTU_4729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	13	0	0	14	14	46	8	3
ZOTU_360	62	26	386	337	104	97	1	2	0	2	4	0	0	5	0	2	8	0	5	24	5	18	32	1	22	50	2	6	58	2	14	63	10	24	32	0	232	52	16	26	44	4	176	53	0	10	8	11
ZOTU_4243	0	0	0	0	0	0	0	9	13	36	10	22	0	4	7	14	13	0	0	12	6	13	5	6	0	6	8	5	10	13	0	4	4	2	15	9	0	0	9	10	5	4	2	1	0	6	3	21
ZOTU_4733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	4	0	0	4	1
ZOTU_58	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	53	2	2	32	0	19	177	25	20	126	0	71	570	151	181	187	36	104	319	321	141	187	45	28	96	3	31	103	75
ZOTU_1384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	11	21	1	4	9	0	8	9	6
ZOTU_7378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	7	3	16	9	3	4	3	17
ZOTU_218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	64	11
ZOTU_41	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	9	51	1	13	22	10	66	3	0	213	136	266	56	209	193	57	251	211	342
ZOTU_173	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	111	0	18	0	2	18
ZOTU_6075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0
